,AttitudeToHomosexuality,HomosexualPeopleYouKnow,HowMuchYouAgreeThatMoreChildreanMoreBlessing,HowMuchYouAgreeThatHavingBoysBetterThanGirls,ReligiousBelief,OnlineShoppingFrequency,SocialMediaUsageFrequency,PaidByTheNation,HasStudiesAbroad,BornProvinceCityCounty,AnnualIncome,Birthyear,Birthmonth,MaritalStatus,ResidenceProvinceCityCounty,FatherEducation,MotherEducation,ArmyEnrollment,PoliticalRole,FatherResidenceType,MotherResidenceType,BornResidenceType,CurrentResidenceType,EducationLevel,Attitude,Age,Income,Education
132,3,0,3.0,5.0,9,,,,2.0,110106.0,,1964,,2,110106.0,1.0,1.0,2,3,1.0,1.0,1,1,3.0,2,2,3,2
133,3,0,1.0,1.0,9,1.0,1.0,,2.0,110106.0,20000.0,1983,,2,110106.0,3.0,4.0,2,3,1.0,1.0,1,1,4.0,2,2,1,3
134,3,0,3.0,5.0,9,3.0,1.0,,2.0,110106.0,70000.0,1981,,2,110106.0,3.0,3.0,2,3,1.0,1.0,1,3,8.0,2,2,2,4
135,3,1,5.0,5.0,9,1.0,1.0,,2.0,110107.0,60000.0,1978,,2,110107.0,3.0,4.0,2,3,1.0,,1,2,9.0,2,2,2,4
136,3,3,3.0,4.0,9,1.0,1.0,,2.0,110106.0,150000.0,1982,,2,110106.0,2.0,2.0,2,3,2.0,2.0,2,2,8.0,2,2,3,4
137,1,0,2.0,4.0,9,2.0,1.0,,2.0,110106.0,60000.0,1983,,2,110106.0,3.0,3.0,2,1,1.0,1.0,1,1,8.0,1,2,2,4
138,3,0,3.0,4.0,9,1.0,1.0,1.0,2.0,110106.0,200000.0,1973,,2,110106.0,2.0,3.0,2,3,2.0,1.0,2,3,8.0,2,2,3,4
139,2,0,1.0,5.0,9,1.0,1.0,,2.0,110106.0,10000.0,1971,,2,110106.0,,,2,3,1.0,1.0,1,1,7.0,1,2,1,3
140,2,0,3.0,3.0,9,3.0,1.0,1.0,2.0,110106.0,80000.0,1961,,1,110106.0,8.0,2.0,2,3,2.0,2.0,3,4,4.0,1,2,2,3
141,1,0,3.0,3.0,9,1.0,1.0,,2.0,110106.0,100000.0,1975,,2,110106.0,3.0,3.0,2,3,2.0,1.0,1,1,8.0,1,2,2,4
142,3,2,5.0,5.0,9,,,,2.0,110106.0,,2001,,1,110106.0,,,2,3,1.0,1.0,1,1,4.0,2,1,3,3
143,1,0,2.0,3.0,9,2.0,1.0,,2.0,110106.0,30000.0,1979,,2,110106.0,,,2,3,2.0,1.0,1,1,9.0,1,2,2,4
144,1,0,3.0,2.0,9,,,,2.0,110106.0,,1955,,2,110106.0,1.0,1.0,2,3,1.0,1.0,1,1,3.0,1,3,3,2
145,2,0,5.0,5.0,9,4.0,1.0,2.0,2.0,110108.0,36000.0,1974,,2,110106.0,2.0,3.0,2,1,1.0,1.0,1,3,9.0,1,2,2,4
146,3,0,3.0,3.0,9,2.0,1.0,1.0,2.0,110106.0,200000.0,1974,,2,110106.0,,3.0,2,3,2.0,1.0,2,2,9.0,2,2,3,4
147,3,0,3.0,4.0,9,1.0,1.0,,2.0,110106.0,80000.0,1978,,2,110106.0,,,2,3,1.0,1.0,2,2,9.0,2,2,2,4
148,3,0,4.0,5.0,9,,,,2.0,110111.0,,1958,,2,110106.0,2.0,1.0,2,3,1.0,1.0,1,1,3.0,2,2,3,2
149,1,0,4.0,5.0,9,,,,2.0,110106.0,,1955,,2,110106.0,2.0,1.0,2,3,1.0,1.0,1,1,3.0,1,3,3,2
